#	schemaVersion	1
#	repository	https://github.com/sgossner/VSCO-2-CE
#	revision	440300901dfe9275fd84e0b7763af1f8443ae62e
#	tree	0ecebcfca0c7e0fe501f71964027f8f59fa0e432
#	license	CC0-1.0
#	licensePath	LICENSE
#	licenseBlob	670154e3538863b2d9891fd5483160fbdfc89164
kind	path	source	gitBlob	sha256	license
sample	public/samples/levain/bassoon/PSBassoon_C2_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C2_v1_1.wav	10ff119e43e0785b606bd4c1586dcb62bf6be6b5	709401175aa7010b579e3bd1b5b9709797e489cbfdb9b5c4a8ab504098a61239	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C2_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C2_v1_rr1.wav	b79049b29c83c481c5000af8103d506cb42dd32b	8bf2da51dc4e2b2d29aa492972f12326507cffbc05749e7bae992d1322f04f1e	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C2_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C2_v1_rr2.wav	49dc81c8573368743c4b66647d43b90053e9e04d	11603a617876edbf0875988be9f6f4073daf5875e4c7b8db11d6bc79f5db9e0e	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C2_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C2_v2_1.wav	14b9d5e95ccd565ea9e3eb2b8ef8c641ac3ac022	836cda0976c44922375cf2cad0ac280c4638d8b943f44cadb1c3a75259bd22cf	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C2_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C2_v2_rr1.wav	09c3c9fc98e243d444e282a7db4fcfc9c600ba33	3c1104957f8f7f38ef861582ad642f1474e903dab96274ad16c51912fceda31f	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C2_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C2_v2_rr2.wav	6e99494f058964f7fb2242adfa61f5f8b33b515f	7737678d9b3eaaaffb71f90942612fe12a6ce57a23f590f22fbccc32cd474dd0	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C3_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C3_v1_1.wav	346fcf577136aac725b49419a915c92efa078d6a	facb567a76b81e7859253f0bf2dc750e05d4c4170f70824ce48887547ca9aaf3	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C3_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C3_v1_rr1.wav	d2c2b2d05947226c4b77bb48af6cc3ce33602a24	efe8a7222f32181cdb752a9acc8860e47ec2a9e2f9b6dc4538f44747eed5786c	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C3_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C3_v1_rr2.wav	6c3cc54c5de792097a5d1756a067b8e5489f7a13	7a2d17e32dc51ea7351f5a3251611a78f38bec3225fcd187b2154d3ba48b894b	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C3_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C3_v2_1.wav	7778b0fa352d6466272f2e0a7b053ca38ac1e35f	c1162eee63c6334ee60c7add58ce0e2f8d87b427c7a7cb64930f3bd63494e121	CC0-1.0
